City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Moscow,"4,327","4,218","6,465",17.49%,3.30,00:02:31,0,RUB 0.00,0.00%
Saint Petersburg,"1,441","1,409","1,901",13.99%,2.81,00:01:26,0,RUB 0.00,0.00%
(not set),511,490,716,22.63%,2.88,00:01:52,0,RUB 0.00,0.00%
Yekaterinburg,338,319,458,15.28%,3.20,00:01:41,0,RUB 0.00,0.00%
Krasnodar,337,325,402,14.93%,2.70,00:01:20,0,RUB 0.00,0.00%
Novosibirsk,281,266,520,9.62%,2.90,00:03:23,0,RUB 0.00,0.00%
Kazan,206,192,301,16.61%,3.02,00:02:14,0,RUB 0.00,0.00%
Ufa,191,186,237,15.61%,2.96,00:01:22,0,RUB 0.00,0.00%
Nizhny Novgorod,179,174,227,17.62%,2.63,00:01:38,0,RUB 0.00,0.00%
Rostov-on-Don,170,162,232,16.81%,2.72,00:01:24,0,RUB 0.00,0.00%
Samara,170,163,220,16.36%,3.09,00:01:39,0,RUB 0.00,0.00%
Chelyabinsk,166,157,233,13.73%,2.56,00:01:49,0,RUB 0.00,0.00%
Irkutsk,146,139,188,18.62%,2.36,00:01:26,0,RUB 0.00,0.00%
Voronezh,117,113,154,24.68%,3.05,00:01:33,0,RUB 0.00,0.00%
Krasnoyarsk,114,102,136,13.97%,2.75,00:01:35,0,RUB 0.00,0.00%
Perm,109,104,146,18.49%,3.10,00:01:17,0,RUB 0.00,0.00%
Balashikha,104,102,147,27.89%,2.37,00:01:28,0,RUB 0.00,0.00%
Vladivostok,101,95,136,11.03%,2.90,00:02:06,0,RUB 0.00,0.00%
Khabarovsk,93,89,116,17.24%,2.67,00:01:11,0,RUB 0.00,0.00%
Kyiv,88,86,99,22.22%,2.78,00:00:23,0,RUB 0.00,0.00%
Tyumen,83,81,103,13.59%,2.66,00:01:53,0,RUB 0.00,0.00%
Barnaul,81,79,103,17.48%,2.49,00:01:39,0,RUB 0.00,0.00%
Yaroslavl,77,74,150,14.67%,3.41,00:03:33,0,RUB 0.00,0.00%
Tomsk,74,73,90,11.11%,2.84,00:01:34,0,RUB 0.00,0.00%
Omsk,70,69,102,11.76%,3.25,00:01:00,0,RUB 0.00,0.00%
Kaliningrad,66,64,84,8.33%,3.25,00:02:12,0,RUB 0.00,0.00%
Saratov,63,62,73,16.44%,2.34,00:02:07,0,RUB 0.00,0.00%
Minsk,58,55,82,10.98%,3.88,00:02:53,0,RUB 0.00,0.00%
Tver,58,56,69,18.84%,2.46,00:01:02,0,RUB 0.00,0.00%
Surgut,57,55,73,12.33%,2.67,00:01:11,0,RUB 0.00,0.00%
Stavropol,56,54,65,18.46%,2.63,00:00:39,0,RUB 0.00,0.00%
Khimki,55,53,68,20.59%,2.37,00:00:30,0,RUB 0.00,0.00%
Tula,54,51,83,14.46%,3.06,00:02:34,0,RUB 0.00,0.00%
Izhevsk,52,52,65,10.77%,2.80,00:02:15,0,RUB 0.00,0.00%
Belgorod,51,46,61,11.48%,2.39,00:01:05,0,RUB 0.00,0.00%
Kemerovo,50,49,60,11.67%,2.53,00:01:12,0,RUB 0.00,0.00%
Volgograd,49,48,63,11.11%,2.98,00:01:32,0,RUB 0.00,0.00%
Ryazan,48,47,55,16.36%,2.45,00:00:59,0,RUB 0.00,0.00%
Vladimir,48,48,70,18.57%,3.00,00:01:49,0,RUB 0.00,0.00%
Dolgoprudny,45,44,81,9.88%,3.01,00:03:58,0,RUB 0.00,0.00%
Chita,44,44,52,17.31%,2.40,00:01:28,0,RUB 0.00,0.00%
Almaty,44,44,55,10.91%,2.65,00:00:49,0,RUB 0.00,0.00%
Ivanovo,42,39,48,35.42%,2.96,00:00:40,0,RUB 0.00,0.00%
Orenburg,42,40,53,26.42%,2.34,00:00:45,0,RUB 0.00,0.00%
Kaluga,40,38,48,12.50%,3.23,00:03:20,0,RUB 0.00,0.00%
Odintsovo,40,38,53,13.21%,2.83,00:01:02,0,RUB 0.00,0.00%
