Language,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
ru-ru,"9,145","9,003","12,860",16.36%,3.03,00:02:01,0,RUB 0.00,0.00%
ru,"3,075","3,004","4,180",16.51%,3.02,00:01:48,0,RUB 0.00,0.00%
en-us,846,824,"1,316",18.31%,2.86,00:02:22,0,RUB 0.00,0.00%
en-gb,393,386,498,10.04%,2.94,00:01:18,0,RUB 0.00,0.00%
en,70,69,85,12.94%,3.58,00:01:35,0,RUB 0.00,0.00%
zh-cn,32,32,32,68.75%,1.38,00:00:04,0,RUB 0.00,0.00%
de-de,27,27,31,16.13%,3.16,00:01:35,0,RUB 0.00,0.00%
uk-ua,21,21,27,18.52%,2.59,00:00:39,0,RUB 0.00,0.00%
fr-fr,18,18,20,5.00%,2.70,00:00:36,0,RUB 0.00,0.00%
en-ru,17,16,27,22.22%,2.93,00:01:44,0,RUB 0.00,0.00%
,"13,815","13,563","19,294",16.41%,3.01,00:01:57,0,RUB 0.00,0.00%
